NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
REZANCI RIŽINI PAD T. 250 g SHAN SHI,90970544,SHAN SHI,0.25 kg,ko,3.45,13.8,,,3.45,9002600282214,HRANA
SET PANETTONE I NAMAZ BAJADERA 787 g,90970584,BAJADERA,0.79 kg,ko,10,12.71,,,39.99,3850102017089,HRANA
KEKS FINESSE BADEM PVC 600 g,90935050,FINESSE,0.60 kg,ko,2,3.33,,,4.99,3850334440389,HRANA
LISNATO TIJESTO 450 g LEDO,90960368,LEDO,0.45 kg,ko,,4.42,1.99,2.49,2.49,3850116068855,HRANA
PUSLICE MALINA 100 g FANOLA,90960374,FANOLA,0.10 kg,ko,2.99,29.9,,,2.99,3859888257351,HRANA
PRALINE MILKA KUGLICE 100 g,90974826,MILKA,0.10 kg,ko,0.5,5,,,2.79,7622201795603,HRANA
MASLINE CRNE GARDEN GOOD 700/400 g,90935011,GARDEN GOOD,0.40 kg,ko,,6.73,2.69,2.69,3.19,3850334441065,HRANA
BOMBON HARIBO HARRY POTTER 85 g,90955101,HARIBO,0.09 kg,ko,1.59,18.71,,,1.59,4001686017890,HRANA
MUSLI QUARK VOĆNI MIX 375 g EXQUIS,90975283,EXQUISA,0.38 kg,ko,1.99,5.31,,,1.99,4019300171521,HRANA
KEKS TUTKU KAKAO KREMA 120 g ETI,90930142,ETI,0.12 kg,ko,1.49,12.42,,,1.49,8690526387994,HRANA
VAFL MANNER JABUKA CIMET 185 g,90970636,MANNER,0.19 kg,ko,0.5,2.7,,,2.39,9015810000608,HRANA
ADVENTSKI KALENDAR KIT KAT 208 g,90974667,KIT KAT,0.21 kg,ko,2,9.62,,,13.99,8000300408690,HRANA
KAVA MLJ CLASSIC BARCAFFE 300 g,90949949,BARCAFFE,0.30 kg,ko,6.99,23.3,,,6.99,3838471054874,HRANA
MAMINI MLINCI S JAJIMA 400 G,90954839,MAMINI MLINCI S JAJIMA,0.40 kg,ko,1.99,4.98,,,1.99,3859894334015,HRANA
