ID naselja,Naziv naselja,Eksterni ID naselja,ID općine,Naziv općine,Eksterni ID općine,ID županije,Naziv županije,Eksterni ID županije
19,Ada,19,6149,Šodolovci,6149,14,Osječko-baranjska,14
27,Adamovec,27,1333,Grad Zagreb,1333,22,Grad Zagreb,22
35,Adžamovci,35,3727,Rešetari,3727,12,Brodsko-posavska,12
43,Alaginci,43,3514,Požega,3514,11,Požeško-slavonska,11
51,Alan,51,3875,Senj,3875,9,Ličko-senjska,9
78,Aleksandrovac,78,4758,Velika,4758,11,Požeško-slavonska,11
86,Aleksinica,86,1309,Gospić,1309,9,Ličko-senjska,9
94,Alilovci,94,1775,Kaptol,1775,11,Požeško-slavonska,11
108,Aljmaš,108,1104,Erdut,1104,14,Osječko-baranjska,14
116,Amatovci,116,353,Brestovac,353,11,Požeško-slavonska,11
124,Andigola,124,639,Čazma,639,7,Bjelovarsko-bilogorska,7
132,Andraševec,132,3115,Oroslavje,3115,2,Krapinsko-zagorska,2
159,Andrijaševci,159,19,Andrijaševci,19,16,Vukovarsko-srijemska,16
35041,Andrijevac,35041,2054,Koška,2054,14,Osječko-baranjska,14
167,Andrilovec,167,1015,Dugo Selo,1015,1,Zagrebačka,1
175,Antenal,175,2917,Novigrad - Istarska ž.,2917,18,Istarska,18
183,Antin,183,4588,Tordinci,4588,16,Vukovarsko-srijemska,16
191,Antolovec,191,2275,Legrad,2275,6,Koprivničko-križevačka,6
205,Anton,205,2739,Mošćenička Draga,2739,8,Primorsko-goranska,8
213,Antonci,213,1384,Grožnjan,1384,18,Istarska,18
221,Antonci,221,3484,Poreč,3484,18,Istarska,18
230,Antovo,230,4880,Vinodolska Općina,4880,8,Primorsko-goranska,8
248,Antunovac,248,27,Antunovac,27,14,Osječko-baranjska,14
256,Antunovac,256,2313,Lipik,2313,11,Požeško-slavonska,11
76606,Antunovac,76591,4758,Velika,4758,11,Požeško-slavonska,11
264,Anžići,264,4979,Višnjan,4979,18,Istarska,18
272,Apatija,272,2445,Ludbreg,2445,5,Varaždinska,5
299,Apatovec,299,2143,Križevci,2143,6,Koprivničko-križevačka,6
