"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"*ARANCINI MARGHERITA 100g";"910161001";"NO BRAND";"0,1";"KG";"1,29";"12,9";"0";"0";"0";"1,29";"";"HRANA"
"*ASIAGO TVRDI KRAVLJI SIR 1/2";"008690001";"NO BRAND";"1";"KG";"19,9";"19,9";"0";"0";"0";"19,9";"";"HRANA"
"*BAKALAR NA BIJELO";"910149601";"NO BRAND";"1";"KG";"31,9";"31,9";"0";"0";"0";"28,9";"";"HRANA"
"*BEÈKA KOBASICA";"910065401";"NO BRAND";"1";"KG";"9,9";"9,9";"0";"0";"0";"11,9";"";"HRANA"
"*BRIE SIR";"009620501";"NO BRAND";"1";"KG";"14,9";"14,9";"0";"0";"0";"19,9";"";"HRANA"
"*BURGUNDSKA ŠUNKA";"910210001";"NO BRAND";"1";"KG";"14,9";"14,9";"9,9";"9,9";"14,9";"14,9";"";"HRANA"
"*BUÐOLA 1/2 VP";"910208801";"NO BRAND";"1";"KG";"21,9";"21,9";"0";"0";"0";"21,9";"";"HRANA"
"*CACIOTTA KRAVLJI SIR CHILI PAPRIKA";"012503701";"NO BRAND";"1";"KG";"22,9";"22,9";"0";"0";"0";"22,9";"";"HRANA"
"*CACIOTTA KRAVLJI SIR S MASLINAMA";"012503801";"NO BRAND";"1";"KG";"22,9";"22,9";"0";"0";"0";"22,9";"";"HRANA"
"*CARSKI MIX POVRÆE";"910172601";"NO BRAND";"1";"KG";"4,9";"4,9";"0";"0";"0";"4,9";"";"HRANA"
"*CARSKO MESO PEÈENO";"910074301";"NO BRAND";"1";"KG";"8,61";"8,61";"0";"0";"0";"8,61";"";"HRANA"
"*CIKLA SALATA";"910110201";"NO BRAND";"1";"KG";"6,62";"6,62";"0";"0";"0";"6,62";"";"HRANA"
"*CRNE MASLINE PEÈENE SUHE";"014695201";"NO BRAND";"1";"KG";"11,9";"11,9";"0";"0";"0";"11,9";"";"HRANA"
"*CRNE MASLINE U SALAMURI";"014694301";"NO BRAND";"1";"KG";"12,9";"12,9";"0";"0";"0";"12,9";"";"HRANA"
"*CRVENA PEÈENA PAPRIKA";"910110301";"NO BRAND";"1";"KG";"9,28";"9,28";"0";"0";"0";"9,28";"";"HRANA"
"*CRVENA PEÈENA PAPRIKA S VRHNJEM";"910117801";"NO BRAND";"1";"KG";"9,94";"9,94";"0";"0";"0";"9,94";"";"HRANA"
"*DALMATINSKA BUÐOLA";"910144401";"NO BRAND";"1";"KG";"23,9";"23,9";"0";"0";"0";"22,9";"";"HRANA"
