naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
NJOKI CUCINA ITALIA.1 kg ;1010;;1,0000;kg;3,69;3,69;;;3,69;8000506014107;Hrana
PUDER BECUTAN ZA DJECU 100 g;1040;Becutan;0,1000;kg;3,25;32,50;;;3,25;5310001139797;Kozmetika
ULJE BECUTAN ZA DJECU 200 ml;1041;Becutan;0,2000;L;3,89;19,45;;;3,89;5310001166380;Kozmetika
KUPKA BECUTAN ZA DJECU 200 ml;1042;Becutan;0,2000;L;3,49;17,45;;;3,49;5310001166397;Kozmetika
MLIJEK.BECUTAN ZA DJECU 200 ml;1043;Becutan;0,2000;L;3,49;17,45;;;3,49;5310001166403;Kozmetika
ŠAMPON BECUTAN ZA DJECU 200 ml;1044;Becutan;0,2000;L;3,29;16,45;;;3,29;5310001166410;Kozmetika
SAPUN BECUTAN DJEÈJI 90 g;1045;Becutan;0,0900;kg;1,15;12,78;;;1,15;5310001138004;Kozmetika
KREMA BECUTAN ZA DJECU 50 ml;1047;Becutan;0,0500;L;2,69;53,80;;;2,69;5310001146887;Kozmetika
KREMA BECUTAN ZA DJECU 100 ml;1050;Becutan;0,1000;L;3,89;38,90;;;3,89;5310001146894;Kozmetika
DRES.DEVELEY SA ZAÈ 75 ml VREÆ;1059;Develey;0,0750;L;0,79;10,53;;;0,79;4006824028219;Hrana
DRES.DEVELEY JOG 75 ml VREÆICA;1078;Develey;0,0750;l;0,79;10,53;;;0,79;4006824018111;Hrana
BRAŠNO T-1100 FARINA 1 kg;1079;;1,0000;kg;0,99;0,99;;;1,12;3859890160144;Hrana
MED MELBI LIPA 450 g;1090;Melbi;0,4500;kg;5,99;13,31;;;8,62;38502095;Hrana
MED MELBI BAGREM 450 g;1092;Melbi;0,4500;kg;7,99;17,76;;;10,61;38502125;Hrana
KR.DEZODORANTSKA LIDERA 50 ml;1104;Lidera;0,0500;L;4,09;81,80;;;3,58;3838980810121;Kozmetika
