naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Vileda spužvasta krpa 10kom	00010016	Vileda	0.300	KOM	       7,99		1	KOM	0,999			MPC 2.5.2025=7,99€	3838447000195	SREDSTVA ZA ČIŠĆENJE
PIK Kobasica Roštiljska 460g	00010465	PIK	0.460	KOM	       5,99		1	KG	13,02			MPC 2.5.2025=5,99€	3850139171587	HRANA
Syoss Dry šampon Anti Grease 200 ml	00010499	Syoss	0.120	KOM	       6,49		1	L	32,45			MPC 2.5.2025=6,49€	9000100695800	KOZMETIKA
Prima štapići slani 220 g	00010527	Prima	0.220	KOM	       1,19		1	KG	5,409			MPC 2.5.2025=1,19€	8600939212271	HRANA
Pivac Dimljena vratina bk 1/2	00010660	Pivac	1	KG	       9,79		1.000					MPC 2.5.2025=9,79€	2801954000000	HRANA
KLC.Krastavci.1550g/850g	00010784	K-Classic	1.550	KOM	       3,39		1	KG	3,988			MPC 2.5.2025=3,39€	4063367146909	HRANA
Billlingtons demerara smeđi šećer 1kg	00010835	Billingtons	1	KOM	       4,99		1.000					MPC 2.5.2025=4,99€	5010651001146	HRANA
Billingtons dark muscovado sm.šeć. 500 g	00010836	Billingtons	0.500	KOM	       3,29		1	KG	6,58			MPC 2.5.2025=3,29€	5010651001313	HRANA
Kikkoman soja umak bez glutena 250 ml	00010846	Kikkoman	0.250	KOM	       5,99		1	L	23,96			MPC 2.5.2025=5,99€	8715035150300	HRANA
Ponti Glassa g.preljev od bal.octa 250ml	00010856	Ponti	0.250	KOM	       3,99		1	L	15,96			MPC 2.5.2025=3,99€	8001010076568	HRANA
Mc Ilhenny Tabasco pepper sauce 150ml	00010857	Mc Ilhenny	0.150	KOM	       9,29		1	L	61,93			MPC 2.5.2025=9,29€	011210000155	HRANA
Mc Ilhenny Tabasco Chipotle 60ml	00010858	Mc Ilhenny	0.060	KOM	       4,59		1	L	76,5			MPC 2.5.2025=4,59€	011210607040	HRANA
Milka keks Mini Stars 150 g	00010969	Milka	0.150	KOM	       2,25		1	KG	  15			MPC 2.5.2025=2,25€	7622300441715	HRANA
Sky lemon 2 l PET	00010986	Sky	2	KOM	       1,45	A	1	L	0,675	       1,45	1,79	MPC 2.5.2025=1,79€	3871059000528	PIĆE
Sky cola 0,5 l PET	00010987	Sky	0.500	KOM	       0,95		1	L	 1,7			MPC 2.5.2025=0,95€	3871059000146	PIĆE
Jana ledeni čaj breskva 0,5 l PET	00010988	Jana	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,19€	3858884601052	PIĆE
