NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
DATULJA EUROCOMPANY DEGLET NOUR 200g,01310151,EUROCOMPANY,0.20 kg,ko,1.35,6.75,,,1.29,8009750222771,HRANA
UMAK SALSA HOT CHIO DIO 200ML,01310397,CHIO,0.20 l,ko,3.69,18.45,,,3.69,4001242108215,HRANA
SMOKVA EUROCOMPANY SUHA 200g,01311158,EUROCOMPANY,0.20 kg,ko,3.39,16.95,,,2.39,3872084014528,HRANA
ORAH INDIJSKI SEEBERGER 150g,01318018,SEEBERGER,0.15 kg,ko,7.09,47.27,,,6.89,4008258038000,HRANA
LUK ŽUTI 1 kg,01400200,KORA,1.00 kg,ko,1.19,1.19,,,1.19,3850334049667,HRANA
ČIPS PRINGLES SOUR&CREAM 165g,01311183,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990101597,HRANA
ČIPS PRINGLES PAPRIKA 165g,01311184,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990161669,HRANA
ČIPS PRINGLES ORGINAL 165g,01311186,PRINGLES,0.17 kg,ko,4.39,26.61,,,4.39,5053990101573,HRANA
GLJIVA ŠAMPINJON 500 grama,01400034,KORA,0.50 kg,ko,2.39,4.78,,,2.39,3850334013576,HRANA
KRUMPIR 5 kg,01400162,KORA,5.00 kg,ko,3.99,0.8,,,3.99,3850334386120,HRANA
MRKVA 1/1 PAK,01400070,,1.00 kg,ko,1.45,1.45,,,1.45,3850334021243,HRANA
GLJIVA ŠAMPINJON REZANI 250 grama,01400086,,0.25 kg,ko,1.79,7.16,,,1.79,3850334184832,HRANA
PAPRIKA MIX,01400092,,0.50 kg,ko,2.99,5.98,,,2.99,3859892029500,HRANA
