Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
JAGERMEISTER 0.7L                       ;01251     ;JAGERMEISTER   ;        0.70;L  ;       15.90;       22.71;'4067700015020';PIÆA;        0.00;        0.00
JAGERMEISTER 1/1                        ;01255     ;JAGERMEISTER   ;        1.00;L  ;       22.29;       22.29;'4067700015013';PIÆA;        0.00;        0.00
JACK DANIEL S 1/1                       ;01257     ;JACK DANIEL'S  ;        1.00;L  ;       30.49;       30.49;'5099873045367';PIÆA;        0.00;        0.00
AMARO 18 ISOLABELLA 1L                  ;01473     ;EUROLAB INTERNACIONAL GRUP D.O.O.;        1.00;L  ;       14.49;       14.49;'8001110017058';PIÆA;        0.00;        0.00
BADEL ST.ŠLJIVOVICA 40% 1.0/6           ;01552     ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112121097';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND 36% 0.5/12            ;01581     ;BADEL 1862 d.d.;        0.50;L  ;        0.00;       12.38;'3850112141217';PIÆA;        7.02;        6.19
BADEL PRIMA BRAND  1L                   ;01582     ;BADEL 1862 d.d.;        1.00;L  ;       11.05;       11.05;'3850112141194';PIÆA;        0.00;        0.00
BADEL ST ŠLJIVOVICA 0,5                 ;01624     ;BADEL 1862 d.d.;        0.50;L  ;       10.02;       20.04;'3850112121110';PIÆA;        0.00;        0.00
TROJKA VODKA 1/1 SEGESTICA              ;01682     ;BADEL 1862 d.d.;        1.00;L  ;        0.00;        8.99;'3850112144027';PIÆA;       10.02;        8.99
SVATOVSKI KRUŠKOVAC 1/1                 ;02073     ;BADEL 1862 d.d.;        1.00;L  ;       10.02;       10.02;'3850112110169';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 1/1 BADEL              ;02080     ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112110039';PIÆA;        0.00;        0.00
TRAVARICA ŠIBENIK 1/1                   ;02709     ;BADEL 1862 d.d.;        1.00;L  ;       14.02;       14.02;'3859888129849';PIÆA;        0.00;        0.00
SOUTHERN COMFORT 1/1                    ;03642     ;PPD CROATIA D.O.O.;        1.00;L  ;       27.49;       27.49;'1210000100504';PIÆA;        0.00;        0.00
VODKA KEGLEVICH 0.7 BRESKVA             ;04940     ;FIBIS D.O.O.;        0.70;L  ;        8.52;       12.17;'8000440112389';PIÆA;        0.00;        0.00
PINA COLADA 0.7L                        ;05226     ;VALENTIÆ d.o.o;        0.70;L  ;        9.69;       13.84;'8712436102839';PIÆA;        0.00;        0.00
HAVANA CLUB 1/1 3 Y.O.                  ;07604     ;VALENTIÆ d.o.o;        1.00;L  ;       16.85;       16.85;'8501110080255';PIÆA;        0.00;        0.00
MENTOL 1/1 BADEL 1862                   ;09953     ;BADEL 1862 d.d.;        1.00;L  ;       11.28;       11.28;'3850112110176';PIÆA;        0.00;        0.00
BALLANTINE S 0,7L                       ;105700    ;VALENTIÆ d.o.o;        0.70;L  ;       17.38;       24.83;'5010106113127';PIÆA;        0.00;        0.00
JACK DANIEL S 0,70L                     ;131939    ;JACK DANIEL'S  ;        0.70;L  ;       24.52;       35.03;'5099873089798';PIÆA;        0.00;        0.00
KRUŠKOVAC 1/1 MARASKA                   ;15148     ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;        9.28;        9.28;'3850158403607';PIÆA;        0.00;        0.00
VODKA KEGLEVICH CLASSIC 1L              ;171957    ;FIBIS D.O.O.;        1.00;L  ;       11.02;       11.02;'8000440112372';PIÆA;        0.00;        0.00
STOCK 84 0.7L+2 ÈAŠE                    ;172313    ;FIBIS D.O.O.;        0.70;L  ;       17.28;       24.69;'8000440600022';PIÆA;        0.00;        0.00
VODKA KEGLEVICH 0.7 JAGODA              ;17703     ;FIBIS D.O.O.;        0.70;L  ;        8.52;       12.17;'8000440112440';PIÆA;        0.00;        0.00
PELINKOVAC 1/1 PETOVIA HERMO            ;22778     ;HERMO DOO;        1.00;L  ;       15.02;       15.02;'3830000650366';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 35% 0.7L             ;236499    ;BADEL 1862 d.d.;        0.70;L  ;       15.49;       22.13;'3850112110572';PIÆA;        0.00;        0.00
PELINKOVAC ANTIQUE 35% 0.7L LUX         ;236501    ;BADEL 1862 d.d.;        0.70;L  ;       18.02;       25.74;'3850112110596';PIÆA;        0.00;        0.00
JAMESON 1/1                             ;238657    ;VALENTIÆ d.o.o;        1.00;L  ;       29.92;       29.92;'5011007003227';PIÆA;        0.00;        0.00
DALMATINO VODKA 0.7L                    ;24571     ;DALMATINO      ;        0.70;L  ;        7.82;       11.17;'4000152004075';PIÆA;        0.00;        0.00
TRAVARICA BADEL 37,5% 1L                ;250902    ;BADEL 1862 d.d.;        1.00;L  ;       12.02;       12.02;'3850112122193';PIÆA;        0.00;        0.00
MEDICA BADEL 1L                         ;279058    ;BADEL 1862 d.d.;        1.00;L  ;       14.02;       14.02;'3850112110664';PIÆA;        0.00;        0.00
ROOM 35% 0.5L MARASKA                   ;28402     ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.50;L  ;        6.39;       12.78;'3850158201531';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND 35% 0,7/6             ;303001    ;BADEL 1862 d.d.;        0.70;L  ;        9.52;       13.60;'3850112141323';PIÆA;        0.00;        0.00
JAGERMEISTER 1,75L                      ;303491    ;JAGERMEISTER   ;        1.75;L  ;       36.99;       21.14;'4067700015006';PIÆA;        0.00;        0.00
OLD SMUGGLER 40% 0.7L                   ;325508    ;PPD CROATIA D.O.O.;        0.07;L  ;       11.49;      164.14;'5010327605005';PIÆA;        0.00;        0.00
ROOM 35% 1L MARASKA                     ;331755    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       11.16;       11.16;'3850158201555';PIÆA;        0.00;        0.00
GIN EMPIRE 37.5% 1L                     ;334021    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       13.22;       13.22;'3850158200879';PIÆA;        0.00;        0.00
PELINKOVAC GORKI 0,7 BADEL              ;334597    ;BADEL 1862 d.d.;        0.70;L  ;       12.49;       17.84;'3850112110756';PIÆA;        0.00;        0.00
AMARO ZARA 1L MARASKA                   ;335220    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       11.02;       11.02;'3850158400002';PIÆA;        0.00;        0.00
VODKA COSMOPOLITAN 37,5 1L MARASKA      ;335221    ;MARASKA        ;        1.00;L  ;       10.89;       10.89;'3850158409005';PIÆA;        0.00;        0.00
MEDICA 1L MARASKA                       ;341797    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;       12.22;       12.22;'3850158202255';PIÆA;        0.00;        0.00
PELINKOVAC 1/1 LAGANA                   ;342756    ;MARASKA        ;        1.00;L  ;       15.02;       15.02;'3850158406752';PIÆA;        0.00;        0.00
JACK DANIELS 0,7 GANTLEMAN              ;346211    ;JACK DANIEL'S  ;        0.70;L  ;       38.02;       54.31;'5099873038758';PIÆA;        0.00;        0.00
VODKA SVAROG 0,7L BADEL                 ;385121    ;BADEL 1862 d.d.;        0.70;L  ;       21.02;       30.03;'3850112142795';PIÆA;        0.00;        0.00
PELINKOVAC ORANGE 1L                    ;411108    ;BADEL 1862 d.d.;        1.00;L  ;       16.02;       16.02;'3850112110930';PIÆA;        0.00;        0.00
BADEL PRIMA BRAND LUX 2 ÈAŠE 0,7L       ;411953    ;BADEL 1862 d.d.;        0.70;L  ;       13.82;       19.74;'3850112141408';PIÆA;        0.00;        0.00
