NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Mineralna voda negazirana,0000004,1.5,"1,5l",Saguaro,0.45,,,0.3,4304493258693,Piæe,"0,45"
Mineralna voda gazirana,0000007,1.5,"1,5l",Saguaro,0.45,,,0.3,4056489796367,Piæe,"0,45"
Mineralna voda gazirana,0000007,1.5,"1,5l",Saguaro,0.45,,,0.3,80007852,Piæe,"0,45"
TUC Krekeri SK1,0000011,0.1,100g,,1.15,,,11.5,7622300570293,Hrana,"1,15"
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",,1.66,,,0.18,4015400931225,Toaletne potrepštine,"1,66"
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",,1.66,,,0.18,8001841263854,Toaletne potrepštine,"1,66"
"Ledeni èaj limun sa šeæerom 1,5l",0000026,1.5,"1,5l",Freeway,1.25,,,0.83,4056489966609,Piæe,"1,05"
"Trajno mlijeko 2,8%",0000055,12,1l,Pilos,0.57,,,0.57,4335619246522,Hrana,Nije_bilo_u_prodaji_02.05.2025
Nescafé Cappuccino 8 kom. BA,0000067,0.444,"108g, 112g",,3.99,,,35.63,8445291532090,Piæe,Nije_bilo_u_prodaji_02.05.2025
Lenor Omekšivaè 60 pranja Sensitiv,0000084,1.8,"1,8l",,5.57,,,0.09,8001841375557,Sredstva za èišæenje,"5,57"
Lenor Omekšivaè G. Orchid 48 pranja,0000087,1.42,"1,42l",,5.57,,,3.92,8001841375885,Sredstva za èišæenje,"5,57"
Ariel Pods Color 35 Kom.,0000088,0.87,35komad,,19.99,,,0.57,8001090727015,Sredstva za èišæenje,"19,99"
Felix Hrana za maèke pilet.&povræe,0000126,0.95,950g,Nestlé,3.99,,,4.2,8445290444288,Proizvodi za kuæanstvo,"3,99"
Purina One hrana za pse puretina,0000152,0.4,4x100g,Nestlé,1.89,,,4.73,7613036919166,Proizvodi za kuæanstvo,"1,89"
Nestlé After Eight Naranèa,0000320,0.2,200g,,3.49,,,17.45,7613287290748,Hrana,"1,86"
Milka Božiæna šalica,0000324,0.1,99g,,6.25,,,63.13,7622210599056,Hrana,"6,99"
Perwoll Tekuæi deter. Color 73pr.,0000331,4.12,"4,015l",Henkel,9.35,,,2.33,9000101576955,Sredstva za èišæenje,"9,35"
Pedigree Pseæe poslastice sort SK2,0000347,0.133,"123g,200g,77g",Mars,1.79,,,8.95,5998749104392,Proizvodi za kuæanstvo,"1,79"
Gillette Mach3 sport brijaè+patrone,0000373,0.039,1komad,,10.99,,,10.99,8700216090285,Kozmetika,"10,99"
Old Spice Deostick Whitewater,0000439,0.099,85ml,,4.99,,,58.71,8006540315118,Kozmetika,"4,39"
Chio Tip Top Cubics ,0000443,0.1,100g,,1.59,,,15.9,3856021303302,Hrana,"1,59"
Silan Omekšivaè Sensitive 76 pranja,0000453,1.672,"1,672l",,5.69,,,3.4,9000101590272,Sredstva za èišæenje,"5,69"
Nestle Nesquik,0000454,0.8,800g,,8.99,,,11.24,5998710960798,Piæe,"7,49"
