NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"315G BARILLA DVOPEK FETTE DORA",31268,"MULINO BIANCO","315 G","KG",1.81,5.75,,1.81,1.81,8076809512060,"hrana"
"315G BARILLA DVOPEK INTEGRALNI",31269,"MULINO BIANCO","315 G","KG",2.76,8.76,,2.76,2.76,8076809512077,"hrana"
"315G BARILLA DVOPEK INTEGRALNI",266060,"MULINO BIANCO","10080 G","KG",88.37,8.77,,88.37,88.37,8076809037303,"hrana"
"225G DVOPEK CLASSIC KLARA",93860,"KLARA","225 G","KG",1.29,5.73,,1.29,1.29,3858881327528,"hrana"
"330G ŽITO ZLATI PREPEČENEC KLA",221308,"ŽITO","330 G","KG",2.7,8.18,,2.7,2.7,3838700020755,"hrana"
"175G SCHAER DVOPEK BEZ GLU",238677,"SCHAR","175 G","KG",4.62,26.4,,4.62,4.62,8008698028605,"hrana"
"175G SCHAER DVOPEK BEZ GLU",266096,"SCHAR","1050 G","KG",27.72,26.4,,27.72,27.72,8008698028612,"hrana"
"500G LEIMER KRUTONI CLASSIC",264306,"LEIMER","500 G","KG",7.86,15.72,,7.86,7.86,4000186036301,"hrana"
"500G LEIMER KRUTONI ZAČINI",264307,"LEIMER","500 G","KG",7.86,15.72,,7.86,7.86,4000186038305,"hrana"
"1KG LEIMER KUGLICE ZA JUHU",264309,"LEIMER","1000 G","KG",9.49,9.49,,9.49,9.49,4000186032501,"hrana"
"205G WASA KREKER ORIGINAL",269666,"WASA","205 G","KG",2.74,13.37,,2.74,2.74,7300400118118,"hrana"
"1620G MC TORTILJA PŠEN 30CMX18",149144,"METRO CHEF","1620 G","KG",4.45,2.75,,5.06,5.06,4337182242055,"hrana"
"1620G MC TORTILJA PŠEN 30CMX18",260235,"METRO CHEF","9720 G","KG",26.7,2.75,,30.38,30.38,4337182242062,"hrana"
"320G MC TORTILJA PŠEN. 20CMX8K",149145,"METRO CHEF","320 G","KG",1.39,4.34,,1.39,1.39,4337182242093,"hrana"
"320G MC TORTILJA PŠEN. 20CMX8K",260588,"METRO CHEF","4480 G","KG",19.43,4.34,,19.43,19.43,4337182242109,"hrana"
"740G MC TORTILJA 25CM X 12KOM",186068,"METRO CHEF","740 G","KG",2.41,3.26,,2.83,2.83,4337182243496,"hrana"
"740G MC TORTILJA 25CM X 12KOM",260243,"METRO CHEF","5920 G","KG",19.3,3.26,,22.6,22.6,4337182243502,"hrana"
"300G SCHAER PIZZA BAZA B.GLU",238676,"SCHAR","300 G","KG",6.03,20.1,,6.03,6.03,8008698002025,"hrana"
"530G MC TORTILJA PŠ 15CMX18KOM",263478,"METRO CHEF","530 G","KG",2.94,5.55,,2.94,2.94,4337182242130,"hrana"
