Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
VODA JAMNICA 1 L BOCA;010102;JAMNICA;1 L;KOM;,69;0,69;;;,69;3859888152014;PICE;
VODA RADENSKA 0,5 L PET;010111;RADENSKA;0,500 L;KOM;,85;1,70;;;,85;3830000620871;PICE;
VODA JAMNICA GAZIRANA 0,5 L PET;010116;JAMNICA;0,500 L;KOM;,85;1,70;;;,85;3859888152113;PICE;
VODA DONAT 0,5 L PET;010123;DONAT;0,500 L;KOM;1,39;2,78;;;1,39;3838600253345;PICE;
LEDENI CAJ PFANNER LIMUN 2 L;010130;PFANNER;2 L;KOM;2,59;1,30;;;2,59;9006900011512;PICE;
VODA DONAT 1 L PET;010131;DONAT;1 L;KOM;2,19;2,19;;;2,19;3838600024945;PICE;
LEDENI CAJ BRESKVA 0,5 L PET STUDENA;010146;STUDENA LEDENI CAJ;0,500 L;KOM;1,05;2,10;;;1,05;3856022302045;PICE;
LEDENI CAJ STUDENA LIMUN 1,5 L;010150;STUDENA LEDENI CAJ;1,5 L;KOM;1,55;1,03;;;1,65;3856022302137;PICE;
SOK JUICY ANANAS 100% 1 L BRIK;010151;JUICY;1 L;KOM;2,79;2,79;;;2,79;3858890970692;PICE;
VODA SARAJEVSKI KISELJAK 1,5 L PET;010172;SARAJEVSKI KISELJAK;1,5 L;KOM;,88;0,59;;;,88;3871059000078;PICE;
VODA SARAJEVSKI KISELJAK 0,5 L PET;010173;SARAJEVSKI KISELJAK;0,500 L;KOM;,79;1,58;;;,79;3871059000023;PICE;
VODA JANA 1,5 L PET;010174;JANA PRIRODNA VODA;1,5 L;KOM;,95;0,63;;;,95;3858884600055;PICE;
VODA JANA 0,5 L PET;010175;JANA PRIRODNA VODA;0,500 L;KOM;,85;1,70;;;,85;3858884600062;PICE;
SOK SUMSKO VOCE BCE 30% 2 L PFANNER;010278;PFANNER;2 L;KOM;;1,27;2,54;3,39;3,39;9006900014001;PICE;
SOK BRESKVA 25% 2 L PFANNER;010279;PFANNER;2 L;KOM;;1,27;2,54;3,39;3,39;9006900014018;PICE;
VODA STUDENAC 1,5 L PET;010301;STUDENAC;1,5 L;KOM;,89;0,59;;;,89;3856022300836;PICE;
VODA RADENSKA 1,5 L PET;010302;RADENSKA;1,5 L;KOM;,99;0,66;;;,99;3830000620864;PICE;
VODA JAMNICA GAZIRANA 1,5 L PET;010310;JAMNICA;1,5 L;KOM;,99;0,66;;;,99;3859888152045;PICE;
VODA STUDENA 1,5 L NEGAZIRANA;010316;STUDENA;1,5 L;KOM;,89;0,59;;;,89;3856022300157;PICE;
SOK FRUCTAL ANANAS 1 L;010501;FRUCTAL;1 L;KOM;2,49;2,49;;;2,49;3838945509077;PICE;
SOK MULTIVITAMIN 50% 2 L PFANNER;010510;PFANNER;2 L;KOM;;1,27;2,54;3,39;3,39;9006900014414;PICE;
SOK NEKTAR MARASKA NARANCA 1 L;010535;MARASKA;1 L;KOM;2,79;2,79;;;2,79;3850158605001;PICE;
COCA COLA 0,5 L PET;010617;COCA COLA;0,500 L;KOM;1,19;2,38;;;1,12;54491472;PICE;
FANTA 0,5 L PET;010618;FANTA;0,500 L;KOM;1,19;2,38;;;1,12;5449000322142;PICE;
SPRITE 0,5 L;010619;SPRITE;0,500 L;KOM;1,19;2,38;;;1,12;5449000334992;PICE;
SOK FIS NARANCA 1 L BRIK;010706;VINDIJA FIS;;KOM;1,06;;;;1,06;3850108072938;PICE;
SOK FIS JABUKA 1 L  BRIK;010718;VINDIJA FIS;;KOM;1,06;;;;1,06;3850108072907;PICE;
SCHWEPPES TONIC WATER 1,5 L PET;010801;SCHWEPPES;1,5 L;KOM;;1,26;1,89;1,89;2,23;5449000044679;PICE;
SCHWEPPES BITTER LEMON 1,5 L PET;010806;SCHWEPPES;1,5 L;KOM;;1,26;1,89;2,22;2,23;5449000044709;PICE;
SCHWEPPES TANGERINE 1,5 L PET;010807;SCHWEPPES;1,5 L;KOM;;1,26;1,89;2,22;2,23;5449000044730;PICE;
COCA COLA 2 L PET;010808;COCA COLA;2 L;KOM;2,39;1,20;;;2,28;5449000000286;PICE;
FANTA ORANGE 2 L PET;010809;FANTA;2 L;KOM;2,39;1,20;;;2,28;5449000322203;PICE;
SPRITE 2 L PET;010820;SPRITE;2 L;KOM;2,39;1,20;;;2,28;5449000335036;PICE;
COCA COLA 1 L PET;010863;COCA COLA;1 L;KOM;1,59;1,59;;;1,48;5449000054227;PICE;
FANTA 1 L PET;010864;FANTA;1 L;KOM;1,59;1,59;;;1,48;5449000322180;PICE;
SPRITE 1 L PET;010865;SPRITE;1 L;KOM;1,59;1,59;;;1,48;5449000335012;PICE;
VODA STUDENA 0,5 L PET;010868;STUDENA;0,500 L;KOM;,65;1,30;;;,76;3856022300188;PICE;
LEDENI CAJ STUDENA BRESKVA 1,5 L;010870;STUDENA LEDENI CAJ;1,5 L;KOM;1,55;1,03;;;1,65;3856022302014;PICE;
SOK PEPSI COLA 2 L PET;010900;PEPSICO;2 L;KOM;1,99;1,00;;;2,05;3830065022627;PICE;
COCA COLA 0,33 L LIMENKA;010906;COCA COLA;0,330 L;KOM;1,08;3,27;;;1,08;5449000214911;PICE;
SOK MIRINDA NARANCA ZERO 2 L PET;010919;PEPSICO;;KOM;1,99;;;;2,05;3830065023846;PICE;
SOK PEPSI COLA 0,5 L PET;010932;PEPSICO;0,500 L;KOM;1,05;2,10;;;1,05;3830065022580;PICE;
SOK JUICY NEKTAR MARELICA/BRESKVA/JABUKA 1 L BRIK;010987;JUICY;1 L;KOM;1,99;1,99;;;1,99;3858890970159;PICE;
SOK COCKTAIL MANDARINA NARANCA VINDI 1 L;011004;VINDIJA VINDI;1 L;KOM;1,19;1,19;;;1,19;3850108076004;PICE;
SOK VINDI NEKTAR BRESKVA 0,2 L BRIK;011012;VINDIJA VINDI;0,200 L;KOM;,69;3,45;;;,69;3850108079753;PICE;
SOK HAPPY DAY NARANCA 100% 1 L BRIK;011038;RAUCH;1 L;KOM;3,49;3,49;;;3,49;90087066;PICE;
SOK VINDI BOROVNICA 1 L;011070;VINDIJA VINDI;1 L;KOM;1,99;1,99;;;1,99;3850108074376;PICE;
SOK VINDI BRESKVA 1 L KASASTI S.C.;011072;VINDIJA VINDI;1 L;KOM;1,89;1,89;;;1,89;3850108079524;PICE;
SOK VINDI MARELICA 1 L KASASTI S.C.;011073;VINDIJA VINDI;1 L;KOM;1,89;1,89;;;1,89;3850108079029;PICE;
SOK VINDI VISNJA 1 L;011077;VINDIJA VINDI;1 L;KOM;1,99;1,99;;;1,99;3850108074475;PICE;
SOK FRUCTAL PREMIUM BOROVNICA NEKTAR 1 L;011105;FRUCTAL;1 L;KOM;2,59;2,59;;;2,59;3838945509046;PICE;
SOK VINDI A+C+E 0,25 L;011106;VINDIJA VINDI;0,250 L;KOM;,59;2,36;;;,59;3850108071306;PICE;
SOK COCKTAIL NARANCA JABUKA VINDI 1 L;011123;VINDIJA VINDI;1 L;KOM;1,19;1,19;;;1,19;3850108077001;PICE;
LEDENI CAJ BRESKVA 0,2 L;011126;VINDIJA VINDI;0,200 L;KOM;,59;2,95;;;,6;3850108077339;PICE;
SOK ORANGINA REGULAR 0,5 L PET;011133;ORANGINA;0,500 L;KOM;1,39;2,78;;;1,72;3877000209170;PICE;
RED BULL 4 X 0,25 L LIMENKA  4 PACK;011148;RED BULL;1 L;KOM;6,29;6,29;;;6,29;9002490100490;PICE;
RED BULL 0,25 L LIMENKA;011177;RED BULL;0,250 L;KOM;;4,76;1,19;1,19;1,69;9002490100070;PICE;
SOK VINDI COCKTAIL NARANCA JABUKA 0,25 L;011223;VINDIJA VINDI;0,250 L;KOM;,59;2,36;;;,59;3850108077209;PICE;
SOK VINDI JABUKA 1 L;011238;VINDIJA VINDI;1 L;KOM;1,59;1,59;;;1,59;3850108078756;PICE;
SOK JABUKA 125 ML FRUTEK;011274;FRUTEK;0,125 L;KOM;,99;7,92;;;,99;3838945502733;HRANA;
SOK HAPPY DAY JABUKA 100% 1 L BRIK;011310;RAUCH;1 L;KOM;2,29;2,29;;;2,29;90087011;PICE;
SOK HAPPY DAY HAPPY CRNI RIBIZ 1 L BRIK;011311;RAUCH;1 L;KOM;2,29;2,29;;;2,29;9008700181860;PICE;
SOK HAPPY DAY ANANAS 100% 1 L;011312;RAUCH;1 L;KOM;3,49;3,49;;;3,49;90087769;PICE;
SOK CIKLA 100% 700 ML FRUCTAL;011376;FRUCTAL;0,750 L;KOM;3,19;4,25;;;3,19;3838945521161;HRANA;
SOK MRKVA 700 ML  FRUCTAL;011378;FRUCTAL;0,750 L;KOM;3,19;4,25;;;3,19;3838945515436;HRANA;
SOK JUICY NEKTAR RIBIZL 1 L BRIK;011631;JUICY;1 L;KOM;2,49;2,49;;;2,49;3858890970302;PICE;
SOK JABUKA 100% 2 L PFANNER;011685;PFANNER;2 L;KOM;;1,27;2,54;3,39;3,39;9006900014025;PICE;
SOK VINDI MULTI LIGHT 1 L;011737;VINDIJA VINDI;1 L;KOM;1,59;1,59;;;1,59;3850108071238;PICE;
SOK VINDI JUICE NARANCA 100% 1 L;011739;VINDIJA VINDI;1 L;KOM;;1,99;1,99;1,99;2,99;3850108075397;PICE;
SOK VINDI A+C+E 1 L  VINDI;011760;VINDIJA VINDI;1 L;KOM;1,49;1,49;;;1,69;3850108071290;PICE;
SOK BRAVO MULTI 0,5 L PET;011861;RAUCH;0,500 L;KOM;1,09;2,18;;;1,09;90020735;PICE;
SOK HAPPY DAY RAJCICA 100% 1 L;011865;RAUCH;;KOM;2,29;;;;2,29;90087547;PICE;
SOK JUICY NEKTAR MULTIVITAMIN 1 L BRIK;011919;JUICY;1 L;KOM;1,99;1,99;;;1,99;3858890970364;PICE;
SOK JUICY NEKTAR JABUKA 1 L BRIK;011934;JUICY;1 L;KOM;1,99;1,99;;;1,99;3858890970906;PICE;
SOK JUICY NEKTAR NARANCA 1 L BRIK;011984;JUICY;1 L;KOM;2,39;2,39;;;2,39;3858890970005;PICE;
SOK JUICY NARANCA 100% 1 L BRIK;011999;JUICY;1 L;KOM;;3,49;3,49;3,49;3,99;3858890970425;PICE;
PIVO TOMISLAV 0,5 L POV. BOCA;012103;TOMISLAV;0,500 L;KOM;;1,98;,99;1,29;1,29;38501715;PICE;
PIVO LASKO ZLATOROG 0,5 L BOCA;012105;ZLATOROG;0,500 L;KOM;1,19;2,38;;;1,19;3830001711011;PICE;
PIVO OZUJSKO 0,5 L POV.BOCA;012107;OZUJSKO;0,500 L;KOM;1,19;2,38;;;1,19;38501692;PICE;
PIVO KARLOVACKO 0,5 L POV. BOCA;012110;KARLOVACKO;0,500 L;KOM;1,19;2,38;;;1,19;3850103000820;PICE;
PIVO KARLOVACKO 5% 0,5 L LIMENKA;012123;KARLOVACKO;0,500 L;KOM;1,55;3,10;;;1,48;3850103002312;PICE;
PIVO HEINEKEN 5% 0,5 L LIMENKA;012130;HEINEKEN;0,500 L;KOM;1,75;3,50;;;1,67;3830001714692;PICE;
PIVO BUDWEISER PREMIUM 0,5 L LIMENKA;012151;BUDWEISER;0,500 L;KOM;1,58;3,16;;;1,58;8594403310115;PICE;
PIVO COOL BEZ ALK. 0,5 L POV.BOCA;012163;COOL;0,500 L;KOM;1,25;2,50;;;1,25;38502293;PICE;
PIVO UNION 4,9% 0,5 L LIMENKA;012202;UNION;0,500 L;KOM;1,25;2,50;;;1,22;3838999050013;PICE;
PIVO LASKO ZLATOROG 0,5 L LIMENKA;012207;ZLATOROG;0,500 L;KOM;1,42;2,84;;;1,42;3830001710991;PICE;
PIVO HEINEKEN 0,33 L LIMENKA;012228;HEINEKEN;0,330 L;KOM;1,35;4,09;;;1,32;3850103902391;PICE;
PIVO OZUJSKO 0,33 L LIMENKA;012234;OZUJSKO;0,330 L;KOM;1,15;3,48;;;1,12;3850131006047;PICE;
PIVO PAN 0,5 L POV. BOCA;012246;PAN;0,500 L;KOM;1,19;2,38;;;1,19;3859888291416;PICE;
PIVO OZUJSKO 0,5 L LIMENKA;012251;OZUJSKO;0,500 L;KOM;1,55;3,10;;;1,48;3850131400609;PICE;
PIVO STELLA ARTOIS 0,5 L LIMENKA;012257;STELLA ARTOIS;0,500 L;KOM;1,75;3,50;;;1,68;3850131486009;PICE;
PIVO PAN 0,5 L LIMENKA;012269;PAN;0,500 L;KOM;1,48;2,96;;;1,48;3859888291461;PICE;
PIVO LEFFE BLOND 0,33 L N.BOCA;012276;LEFFE;0,330 L;KOM;2,22;6,73;;;2,22;5410228166665;PICE;
PIVO LEFFE BRUNE 0,33 L N.BOCA;012287;LEFFE;0,330 L;KOM;2,22;6,73;;;2,22;5410228166672;PICE;
VINO TERAN 0,75 L LAGUNA;012308;LAGUNA;0,750 L;KOM;6,72;8,96;;;6,72;3858881190207;PICE;
VINO GRASEVINA KVALITETNA 1 L ILOK;012314;ILOCKI PODRUMI;1 L;KOM;6,52;6,52;;;6,49;3859889556460;PICE;
VINO TRAMINAC KVALITETNI 0,75 L ILOK JAMNICA;012315;ILOCKI PODRUMI;0,750 L;KOM;8,02;10,69;;;7,99;3859889556538;PICE;
VINO RAJNSKI RIZLING KVALITETNI 0,75 L ILOK JAMNICA;012319;ILOCKI PODRUMI;0,750 L;KOM;;8,39;6,29;6,29;6,99;3859889556576;PICE;
VINO CHARDONNAY KVALITETNI 0,75 L ILOK JAMNICA;012324;ILOCKI PODRUMI;0,750 L;KOM;;8,39;6,29;7,02;6,99;3859889556552;PICE;
VINO GRASEVINA KVALITETNI 0,75 L ILOK JAMNICA;012327;ILOCKI PODRUMI;0,750 L;KOM;7,02;9,36;;;6,99;3859889556453;PICE;
VINO PAZINSKA MALVAZIJA 1 L JAMNICA;012336;LAGUNA;1 L;KOM;7,52;7,52;;;7,52;3858881193321;PICE;
VINO PINOT BIJELI KVALITETNI 0,75 L ILOK JAMNICA;012341;ISTRAVINO;0,750 L;KOM;;8,39;6,29;6,29;6,99;3859889556507;PICE;
VINO PLAVAC 1 L  BADEL;012358;VINA BADEL;1 L;KOM;5,52;5,52;;;5,52;3850112170613;PICE;
VINO PELJESAC 1 L BADEL;012359;VINA BADEL;1 L;KOM;5,52;5,52;;;5,52;3850112170637;PICE;
VINO ROSE BENKOVAC 0,75 L BADEL;012419;VINA BADEL;0,750 L;KOM;7,02;9,36;;;7,02;3850112163134;PICE;
VODKA DALMATINO 0,7 L;012489;NIMCO JAP;0,700 L;KOM;;9,99;6,99;8,02;8,02;4000152004075;PICE;
VODKA BLACKY 0,7 L;012491;NIMCO JAP;0,700 L;KOM;;9,99;6,99;8,02;8,02;4000152004570;PICE;
PJENUSAC HENKELL TROCKEN 0,75 L;012501;HENKELL;0,750 L;KOM;8,75;11,67;;;10,99;4003310011625;PICE;
VINO PLAVAC 0,75 L BADEL;012505;VINA BADEL;0,750 L;KOM;6,02;8,03;;;6,02;3850112170620;PICE;
VINO PELJESAC 0,75 L BADEL;012506;VINA BADEL;0,750 L;KOM;6,02;8,03;;;6,02;3850112170644;PICE;
PJENUSAC SOHNLEIN BRILL. 0,75 L;012508;SOHNLEIN;0,750 L;KOM;;7,83;5,87;8,39;8,39;4003310013568;PICE;
VINO MERLOT 0,75 L LAGUNA JAMNICA;012512;LAGUNA;0,750 L;KOM;6,37;8,49;;;6,37;3858881190160;PICE;
VINO GRASEVINA VRHUNSKA 0,75 L KRAUTHAKER;012516;KRAUTHAKER;0,750 L;KOM;;13,32;9,99;9,99;12,99;3859892481001;PICE;
VINO ZLAHTINA KATUNAR 0,75 L;012542;KATUNAR;0,750 L;KOM;8,49;11,32;;;8,49;3857500046819;PICE;
VINO ZLATAN OTOK 0,75 L ZLATAN OTOK;012580;PLENKOVIC;0,750 L;KOM;6,02;8,03;;;6,02;3859888437012;PICE;
VINO ZLATNA ZLAHTINA 0,75 L  PZ VRBNIK;012584;PZ VRBNIK;0,750 L;KOM;10,22;13,63;;;10,22;3859889467018;PICE;
